cursor,block,recorded,combo_index,selection_index,A,W,EW_ratio,D,movement_time_s,errors
bubble,1,True,21,4,768,16,1.33,0.5,0.8686,0
bubble,1,True,21,5,256,16,1.33,0.5,2.0112,1
bubble,1,True,21,6,256,16,1.33,0.5,1.259,0
bubble,1,True,21,7,768,16,1.33,0.5,1.7079,1
bubble,1,True,21,8,256,16,1.33,0.5,1.0916,0
bubble,1,True,22,0,768,16,1.33,0,0.9444,0
bubble,1,True,22,1,768,16,1.33,0,1.1142,0
bubble,1,True,22,2,256,16,1.33,0,0.9072,0
bubble,1,True,22,3,256,16,1.33,0,0.8642,0
bubble,1,True,22,4,256,16,1.33,0,0.8462,0
bubble,1,True,22,5,512,16,1.33,0,1.0726,0
bubble,1,True,22,6,768,16,1.33,0,0.9626,0
bubble,1,True,22,7,512,16,1.33,0,0.8869,0
bubble,1,True,22,8,512,16,1.33,0,0.9579,0
bubble,1,True,23,0,256,24,2,0,0.9707,0
bubble,1,True,23,1,256,24,2,0,0.8607,0
bubble,1,True,23,2,512,24,2,0,0.871,0
bubble,1,True,23,3,768,24,2,0,0.9359,0
bubble,1,True,23,4,512,24,2,0,0.8503,0
bubble,1,True,23,5,512,24,2,0,0.9197,0
bubble,1,True,23,6,256,24,2,0,0.6519,0
bubble,1,True,23,7,768,24,2,0,0.9123,0
bubble,1,True,23,8,768,24,2,0,0.7155,0
bubble,1,True,24,0,256,8,2,0,1.2529,1
bubble,1,True,24,1,256,8,2,0,1.2229,0
bubble,1,True,24,2,768,8,2,0,0.9981,0
bubble,1,True,24,3,512,8,2,0,1.1183,0
bubble,1,True,24,4,768,8,2,0,1.1433,0
bubble,1,True,24,5,768,8,2,0,1.0062,0
bubble,1,True,24,6,512,8,2,0,1.1313,0
bubble,1,True,24,7,512,8,2,0,1.0372,0
bubble,1,True,24,8,256,8,2,0,1.0005,0
bubble,1,True,25,0,256,24,1.33,0.5,0.9741,0
bubble,1,True,25,1,768,24,1.33,0.5,1.3596,0
bubble,1,True,25,2,768,24,1.33,0.5,1.2751,0
bubble,1,True,25,3,512,24,1.33,0.5,0.8597,0
bubble,1,True,25,4,768,24,1.33,0.5,1.2872,0
bubble,1,True,25,5,512,24,1.33,0.5,1.0736,0
bubble,1,True,25,6,512,24,1.33,0.5,1.015,0
bubble,1,True,25,7,256,24,1.33,0.5,0.8634,0
bubble,1,True,25,8,256,24,1.33,0.5,0.8512,0
bubble,1,True,26,0,256,24,1.33,1,0.7622,0
bubble,1,True,26,1,768,24,1.33,1,1.1508,0
bubble,1,True,26,2,768,24,1.33,1,1.0716,0
bubble,1,True,26,3,512,24,1.33,1,1.0277,0
bubble,1,True,26,4,256,24,1.33,1,0.9789,0
bubble,1,True,26,5,512,24,1.33,1,0.8945,0
bubble,1,True,26,6,512,24,1.33,1,0.9324,0
bubble,1,True,26,7,256,24,1.33,1,0.9307,0
bubble,1,True,26,8,768,24,1.33,1,0.9173,0
bubble,2,True,0,0,512,24,1.33,1,1.165,0
bubble,2,True,0,1,512,24,1.33,1,1.0713,0
bubble,2,True,0,2,256,24,1.33,1,1.1367,0
bubble,2,True,0,3,768,24,1.33,1,1.3669,1
bubble,2,True,0,4,768,24,1.33,1,1.071,0
bubble,2,True,0,5,512,24,1.33,1,0.876,0
bubble,2,True,0,6,768,24,1.33,1,0.8626,0
bubble,2,True,0,7,256,24,1.33,1,0.8977,0
bubble,2,True,0,8,256,24,1.33,1,1.074,0
bubble,2,True,1,0,256,16,1.33,0.5,1.2038,0
bubble,2,True,1,1,512,16,1.33,0.5,1.4797,0
bubble,2,True,1,2,768,16,1.33,0.5,1.0429,0
bubble,2,True,1,3,256,16,1.33,0.5,1.1368,0
bubble,2,True,1,4,768,16,1.33,0.5,1.0499,0
bubble,2,True,1,5,768,16,1.33,0.5,0.997,0
bubble,2,True,1,6,512,16,1.33,0.5,0.8347,0
bubble,2,True,1,7,512,16,1.33,0.5,1.0556,0
bubble,2,True,1,8,256,16,1.33,0.5,0.8885,0
bubble,2,True,2,0,768,16,1.33,0,1.0182,0
bubble,2,True,2,1,256,16,1.33,0,0.9507,0
bubble,2,True,2,2,512,16,1.33,0,1.4409,1
bubble,2,True,2,3,512,16,1.33,0,1.7942,1
bubble,2,True,2,4,512,16,1.33,0,0.8432,0
bubble,2,True,2,5,768,16,1.33,0,0.8237,0
bubble,2,True,2,6,768,16,1.33,0,1.2982,0
bubble,2,True,2,7,256,16,1.33,0,0.7801,0
bubble,2,True,2,8,256,16,1.33,0,0.8984,0
bubble,2,True,3,0,512,8,2,1,1.3115,0
bubble,2,True,3,1,512,8,2,1,1.263,0
bubble,2,True,3,2,768,8,2,1,1.0618,0
bubble,2,True,3,3,768,8,2,1,1.257,0
bubble,2,True,3,4,256,8,2,1,0.9789,0
bubble,2,True,3,5,768,8,2,1,1.2492,0
bubble,2,True,3,6,256,8,2,1,1.5524,0
bubble,2,True,3,7,512,8,2,1,1.4268,0
bubble,2,True,3,8,256,8,2,1,1.614,0
bubble,2,True,4,0,256,8,1.33,0,1.2787,0
bubble,2,True,4,1,768,8,1.33,0,1.5273,0
bubble,2,True,4,2,768,8,1.33,0,1.6341,0
bubble,2,True,4,3,256,8,1.33,0,1.113,0
bubble,2,True,4,4,768,8,1.33,0,1.459,0
bubble,2,True,4,5,512,8,1.33,0,1.1955,0
