cursor,block,recorded,combo_index,A,W,EW,selection_index,movement_time_s,errors
bubble,2,True,18,192,24,64,2,0.6408,0
bubble,2,True,18,192,24,64,3,0.4519,0
bubble,2,True,18,192,24,64,4,0.614,0
bubble,2,True,18,192,24,64,5,0.5094,0
bubble,2,True,19,192,8,64,1,0.5404,0
bubble,2,True,19,192,8,64,2,0.4639,0
bubble,2,True,19,192,8,64,3,0.5761,0
bubble,2,True,19,192,8,64,4,0.5095,0
bubble,2,True,19,192,8,64,5,0.5711,0
bubble,2,True,20,768,24,32,1,1.1511,0
bubble,2,True,20,768,24,32,2,1.2492,0
bubble,2,True,20,768,24,32,3,1.1268,0
bubble,2,True,20,768,24,32,4,1.1204,0
bubble,2,True,20,768,24,32,5,0.8248,0
bubble,2,True,21,768,8,96,1,0.8311,0
bubble,2,True,21,768,8,96,2,1.3193,0
bubble,2,True,21,768,8,96,3,0.872,0
bubble,2,True,21,768,8,96,4,0.9678,0
bubble,2,True,21,768,8,96,5,0.8563,0
bubble,2,True,22,384,16,32,1,1.3889,0
bubble,2,True,22,384,16,32,2,1.2393,2
bubble,2,True,22,384,16,32,3,0.9295,0
bubble,2,True,22,384,16,32,4,0.8457,0
bubble,2,True,22,384,16,32,5,0.8375,0
bubble,2,True,23,192,16,64,1,1.0467,0
bubble,2,True,23,192,16,64,2,0.729,0
bubble,2,True,23,192,16,64,3,0.5121,0
bubble,2,True,23,192,16,64,4,0.72,1
bubble,2,True,23,192,16,64,5,0.4798,0
bubble,2,True,24,768,16,64,1,1.8946,1
bubble,2,True,24,768,16,64,2,1.1254,0
bubble,2,True,24,768,16,64,3,0.9196,0
bubble,2,True,24,768,16,64,4,0.7453,0
bubble,2,True,24,768,16,64,5,0.7514,0
bubble,2,True,25,192,8,32,1,1.3962,0
bubble,2,True,25,192,8,32,2,0.5196,0
bubble,2,True,25,192,8,32,3,0.633,0
bubble,2,True,25,192,8,32,4,0.6954,0
bubble,2,True,25,192,8,32,5,0.6877,0
bubble,2,True,26,384,24,32,1,0.829,0
bubble,2,True,26,384,24,32,2,1.0553,0
bubble,2,True,26,384,24,32,3,1.288,0
bubble,2,True,26,384,24,32,4,0.8798,0
bubble,2,True,26,384,24,32,5,1.0641,0
bubble,3,True,0,768,16,32,1,1.621,1
bubble,3,True,0,768,16,32,2,0.9683,0
bubble,3,True,0,768,16,32,3,0.9277,0
bubble,3,True,0,768,16,32,4,0.7676,0
bubble,3,True,0,768,16,32,5,1.0202,0
bubble,3,True,1,384,24,32,1,1.0325,0
bubble,3,True,1,384,24,32,2,1.4229,2
bubble,3,True,1,384,24,32,3,1.2077,0
bubble,3,True,1,384,24,32,4,0.7682,0
bubble,3,True,1,384,24,32,5,0.9928,0
bubble,3,True,2,384,24,96,1,0.8888,0
bubble,3,True,2,384,24,96,2,0.4886,0
bubble,3,True,2,384,24,96,3,0.7361,0
bubble,3,True,2,384,24,96,4,0.7364,0
bubble,3,True,2,384,24,96,5,0.8631,0
bubble,3,True,3,768,24,64,1,1.0543,0
bubble,3,True,3,768,24,64,2,1.3743,0
bubble,3,True,3,768,24,64,3,0.8805,0
bubble,3,True,3,768,24,64,4,0.7632,0
bubble,3,True,3,768,24,64,5,0.7643,0
bubble,3,True,4,768,8,32,1,2.6364,1
bubble,3,True,4,768,8,32,2,1.2335,0
bubble,3,True,4,768,8,32,3,1.4787,1
bubble,3,True,4,768,8,32,4,1.056,0
bubble,3,True,4,768,8,32,5,0.8872,0
bubble,3,True,5,768,16,64,1,2.5798,1
bubble,3,True,5,768,16,64,2,0.993,0
bubble,3,True,5,768,16,64,3,0.9672,0
bubble,3,True,5,768,16,64,4,0.929,0
bubble,3,True,5,768,16,64,5,0.9084,0
bubble,3,True,6,192,8,96,1,1.1485,0
bubble,3,True,6,192,8,96,2,0.4631,0
bubble,3,True,6,192,8,96,3,0.5842,0
bubble,3,True,6,192,8,96,4,0.4815,0
bubble,3,True,6,192,8,96,5,0.4543,0
bubble,3,True,7,192,16,64,1,0.5083,0
bubble,3,True,7,192,16,64,2,0.4359,0
bubble,3,True,7,192,16,64,3,0.4517,0
bubble,3,True,7,192,16,64,4,0.5705,0
bubble,3,True,7,192,16,64,5,0.5256,0
bubble,3,True,8,384,24,64,1,1.0845,0
bubble,3,True,8,384,24,64,2,0.6408,0
bubble,3,True,8,384,24,64,3,0.5529,0
bubble,3,True,8,384,24,64,4,0.5174,0
bubble,3,True,8,384,24,64,5,0.7129,0
bubble,3,True,9,384,8,96,1,1.4129,1
bubble,3,True,9,384,8,96,2,0.7517,0
bubble,3,True,9,384,8,96,3,0.7199,0
bubble,3,True,9,384,8,96,4,0.6883,0
bubble,3,True,9,384,8,96,5,0.7152,0
bubble,3,True,10,192,16,32,1,1.1412,0
bubble,3,True,10,192,16,32,2,0.744,0
bubble,3,True,10,192,16,32,3,0.723,0
bubble,3,True,10,192,16,32,4,0.5517,0
bubble,3,True,10,192,16,32,5,0.6645,0
bubble,3,True,11,192,8,64,1,0.6481,0
bubble,3,True,11,192,8,64,2,0.5954,0
bubble,3,True,11,192,8,64,3,0.8012,0
bubble,3,True,11,192,8,64,4,0.6246,0
bubble,3,True,11,192,8,64,5,0.577,0
bubble,3,True,12,192,24,96,1,0.6103,0
bubble,3,True,12,192,24,96,2,0.4732,0
bubble,3,True,12,192,24,96,3,0.4473,0
bubble,3,True,12,192,24,96,4,0.3937,0
bubble,3,True,12,192,24,96,5,0.495,0
bubble,3,True,13,384,16,32,1,1.1091,0
bubble,3,True,13,384,16,32,2,0.9682,0
bubble,3,True,13,384,16,32,3,0.6243,0
bubble,3,True,13,384,16,32,4,0.7076,0
bubble,3,True,13,384,16,32,5,1.0104,0
bubble,3,True,14,384,16,64,1,1.5084,1
bubble,3,True,14,384,16,64,2,0.8398,0
bubble,3,True,14,384,16,64,3,0.6726,0
bubble,3,True,14,384,16,64,4,0.7198,0
bubble,3,True,14,384,16,64,5,0.7427,0
bubble,3,True,15,192,24,64,1,1.1213,0
bubble,3,True,15,192,24,64,2,0.8196,0
bubble,3,True,15,192,24,64,3,0.6162,0
bubble,3,True,15,192,24,64,4,0.5926,0
bubble,3,True,15,192,24,64,5,0.6396,0
bubble,3,True,16,768,16,96,1,1.0923,0
bubble,3,True,16,768,16,96,2,0.9237,0
bubble,3,True,16,768,16,96,3,0.5884,0
bubble,3,True,16,768,16,96,4,0.6087,0
bubble,3,True,16,768,16,96,5,1.0996,0
bubble,3,True,17,768,24,96,1,1.3757,1
bubble,3,True,17,768,24,96,2,0.9838,0
bubble,3,True,17,768,24,96,3,0.8414,0
bubble,3,True,17,768,24,96,4,0.896,0
bubble,3,True,17,768,24,96,5,0.9176,0
bubble,3,True,18,768,8,96,1,1.4964,1
bubble,3,True,18,768,8,96,2,0.9585,0
bubble,3,True,18,768,8,96,3,0.8098,0
bubble,3,True,18,768,8,96,4,0.8735,0
bubble,3,True,18,768,8,96,5,0.8416,0
bubble,3,True,19,768,8,64,1,1.6944,1
bubble,3,True,19,768,8,64,2,0.7783,0
bubble,3,True,19,768,8,64,3,0.8647,0
bubble,3,True,19,768,8,64,4,0.7886,0
bubble,3,True,19,768,8,64,5,0.7588,0
bubble,3,True,20,384,16,96,1,1.2206,0
bubble,3,True,20,384,16,96,2,0.8001,0
bubble,3,True,20,384,16,96,3,0.7835,0
bubble,3,True,20,384,16,96,4,0.8199,0
bubble,3,True,20,384,16,96,5,0.5968,0
bubble,3,True,21,384,8,64,1,1.005,0
bubble,3,True,21,384,8,64,2,0.7226,0
bubble,3,True,21,384,8,64,3,1.0324,0
bubble,3,True,21,384,8,64,4,1.0403,0
bubble,3,True,21,384,8,64,5,0.7999,0
bubble,3,True,22,192,24,32,1,0.9376,0
bubble,3,True,22,192,24,32,2,0.9644,0
bubble,3,True,22,192,24,32,3,0.8425,0
bubble,3,True,22,192,24,32,4,0.9891,0
bubble,3,True,22,192,24,32,5,0.719,0
bubble,3,True,23,192,8,32,1,0.7361,0
bubble,3,True,23,192,8,32,2,0.6559,0
bubble,3,True,23,192,8,32,3,0.6523,0
bubble,3,True,23,192,8,32,4,1.0209,0
bubble,3,True,23,192,8,32,5,0.6843,0
bubble,3,True,24,384,8,32,1,1.7116,1
bubble,3,True,24,384,8,32,2,1.0275,0
bubble,3,True,24,384,8,32,3,0.8856,0
bubble,3,True,24,384,8,32,4,0.8899,0
bubble,3,True,24,384,8,32,5,0.8481,0
bubble,3,True,25,192,16,96,1,1.2529,0
bubble,3,True,25,192,16,96,2,0.6483,0
bubble,3,True,25,192,16,96,3,0.5114,0
bubble,3,True,25,192,16,96,4,0.4874,0
bubble,3,True,25,192,16,96,5,0.5198,0
bubble,3,True,26,768,24,32,1,2.0283,1
bubble,3,True,26,768,24,32,2,0.6277,0
bubble,3,True,26,768,24,32,3,0.948,0
bubble,3,True,26,768,24,32,4,1.0807,0
bubble,3,True,26,768,24,32,5,0.9041,0
