cursor,block,recorded,combo_index,A,W,EW,selection_index,movement_time_s,errors
point,2,True,7,384,16,64,5,0.9058,0
point,2,True,8,192,24,32,1,0.8299,0
point,2,True,8,192,24,32,2,0.7757,0
point,2,True,8,192,24,32,3,0.5679,0
point,2,True,8,192,24,32,4,0.8241,0
point,2,True,8,192,24,32,5,1.176,0
point,2,True,9,768,16,32,1,1.412,0
point,2,True,9,768,16,32,2,1.2643,0
point,2,True,9,768,16,32,3,1.6076,1
point,2,True,9,768,16,32,4,1.1606,0
point,2,True,9,768,16,32,5,1.0085,0
point,2,True,10,768,16,96,1,2.1321,1
point,2,True,10,768,16,96,2,1.0799,0
point,2,True,10,768,16,96,3,1.3123,1
point,2,True,10,768,16,96,4,1.0332,0
point,2,True,10,768,16,96,5,0.9256,0
point,2,True,11,768,24,64,1,1.453,0
point,2,True,11,768,24,64,2,1.3829,0
point,2,True,11,768,24,64,3,3.1766,1
point,2,True,11,768,24,64,4,0.903,0
point,2,True,11,768,24,64,5,1.1527,0
point,2,True,12,384,24,64,1,1.1326,0
point,2,True,12,384,24,64,2,0.727,0
point,2,True,12,384,24,64,3,0.7276,0
point,2,True,12,384,24,64,4,0.968,0
point,2,True,12,384,24,64,5,1.288,0
point,2,True,13,384,24,32,1,1.0214,0
point,2,True,13,384,24,32,2,0.5912,0
point,2,True,13,384,24,32,3,1.489,1
point,2,True,13,384,24,32,4,0.7433,0
point,2,True,13,384,24,32,5,0.8571,0
point,2,True,14,192,16,96,1,1.2115,0
point,2,True,14,192,16,96,2,0.9278,0
point,2,True,14,192,16,96,3,0.847,0
point,2,True,14,192,16,96,4,1.4163,1
point,2,True,14,192,16,96,5,1.0236,0
point,2,True,15,384,8,96,1,2.8854,1
point,2,True,15,384,8,96,2,1.6638,0
point,2,True,15,384,8,96,3,1.4077,0
point,2,True,15,384,8,96,4,0.7531,0
point,2,True,15,384,8,96,5,1.3022,0
point,2,True,16,384,8,64,1,4.1807,4
point,2,True,16,384,8,64,2,0.7203,0
point,2,True,16,384,8,64,3,2.5998,2
point,2,True,16,384,8,64,4,1.3522,0
point,2,True,16,384,8,64,5,1.5988,1
point,2,True,17,192,8,64,1,2.094,1
point,2,True,17,192,8,64,2,0.9906,0
point,2,True,17,192,8,64,3,0.9318,0
point,2,True,17,192,8,64,4,0.836,0
point,2,True,17,192,8,64,5,1.2082,0
point,2,True,18,768,24,96,1,1.8291,0
point,2,True,18,768,24,96,2,0.9355,1
point,2,True,18,768,24,96,3,1.2,1
point,2,True,18,768,24,96,4,1.2325,0
point,2,True,18,768,24,96,5,1.5037,0
point,2,True,19,384,16,96,1,1.1799,0
point,2,True,19,384,16,96,2,0.9198,0
point,2,True,19,384,16,96,3,0.7364,0
point,2,True,19,384,16,96,4,1.255,1
point,2,True,19,384,16,96,5,0.6328,0
point,2,True,20,384,8,32,1,2.412,1
point,2,True,20,384,8,32,2,3.8117,2
point,2,True,20,384,8,32,3,1.044,0
point,2,True,20,384,8,32,4,0.8236,0
point,2,True,20,384,8,32,5,1.1538,0
point,2,True,21,192,16,64,1,1.2783,0
point,2,True,21,192,16,64,2,0.8723,0
point,2,True,21,192,16,64,3,0.9289,0
point,2,True,21,192,16,64,4,0.7754,0
point,2,True,21,192,16,64,5,0.9186,0
point,2,True,22,768,16,64,1,2.9318,1
point,2,True,22,768,16,64,2,1.4087,0
point,2,True,22,768,16,64,3,1.1526,0
point,2,True,22,768,16,64,4,1.0393,0
point,2,True,22,768,16,64,5,1.729,1
point,2,True,23,768,24,32,1,2.0873,1
point,2,True,23,768,24,32,2,1.1728,0
point,2,True,23,768,24,32,3,0.9258,0
point,2,True,23,768,24,32,4,0.9306,0
point,2,True,23,768,24,32,5,1.4231,0
point,2,True,24,384,24,96,1,1.7593,0
point,2,True,24,384,24,96,2,0.8004,0
point,2,True,24,384,24,96,3,0.7198,0
point,2,True,24,384,24,96,4,0.9035,0
point,2,True,24,384,24,96,5,0.9201,0
point,2,True,25,192,8,96,1,1.2587,0
point,2,True,25,192,8,96,2,0.8825,0
point,2,True,25,192,8,96,3,1.2024,0
point,2,True,25,192,8,96,4,1.1006,0
point,2,True,25,192,8,96,5,1.0312,0
point,2,True,26,768,8,96,1,2.1844,0
point,2,True,26,768,8,96,2,1.1593,0
point,2,True,26,768,8,96,3,1.3652,0
point,2,True,26,768,8,96,4,1.368,0
point,2,True,26,768,8,96,5,3.1606,1
point,3,True,0,384,8,32,1,1.8871,0
point,3,True,0,384,8,32,2,1.2123,0
point,3,True,0,384,8,32,3,0.8163,0
point,3,True,0,384,8,32,4,1.1635,0
point,3,True,0,384,8,32,5,1.1392,0
point,3,True,1,768,16,96,1,2.1652,0
point,3,True,1,768,16,96,2,1.1436,0
point,3,True,1,768,16,96,3,0.8834,0
point,3,True,1,768,16,96,4,1.2761,0
point,3,True,1,768,16,96,5,0.9999,0
point,3,True,2,192,8,96,1,1.321,0
point,3,True,2,192,8,96,2,0.9842,0
point,3,True,2,192,8,96,3,0.856,0
point,3,True,2,192,8,96,4,1.1724,0
point,3,True,2,192,8,96,5,1.1073,0
point,3,True,3,768,24,96,1,1.3207,0
point,3,True,3,768,24,96,2,1.2391,0
point,3,True,3,768,24,96,3,0.8631,0
point,3,True,3,768,24,96,4,0.9165,0
point,3,True,3,768,24,96,5,1.0046,1
point,3,True,4,192,8,32,1,1.9238,0
point,3,True,4,192,8,32,2,1.0637,0
point,3,True,4,192,8,32,3,1.0486,0
point,3,True,4,192,8,32,4,0.944,0
point,3,True,4,192,8,32,5,0.8596,0
point,3,True,5,768,8,64,1,2.1212,0
point,3,True,5,768,8,64,2,1.1078,0
point,3,True,5,768,8,64,3,1.7797,1
point,3,True,5,768,8,64,4,1.212,0
point,3,True,5,768,8,64,5,1.6683,0
point,3,True,6,384,24,96,1,1.7162,1
point,3,True,6,384,24,96,2,0.9669,0
point,3,True,6,384,24,96,3,0.9494,0
point,3,True,6,384,24,96,4,0.951,0
point,3,True,6,384,24,96,5,1.1284,0
point,3,True,7,192,16,32,1,0.9795,0
point,3,True,7,192,16,32,2,0.7293,0
point,3,True,7,192,16,32,3,1.1238,0
point,3,True,7,192,16,32,4,0.66,0
point,3,True,7,192,16,32,5,0.8206,0
point,3,True,8,384,8,96,1,1.2863,0
point,3,True,8,384,8,96,2,1.5938,0
point,3,True,8,384,8,96,3,1.047,0
point,3,True,8,384,8,96,4,1.1079,0
point,3,True,8,384,8,96,5,0.9986,0
point,3,True,9,384,16,64,1,1.7132,0
point,3,True,9,384,16,64,2,0.7401,0
point,3,True,9,384,16,64,3,0.8231,0
point,3,True,9,384,16,64,4,0.9973,0
point,3,True,9,384,16,64,5,0.796,0
point,3,True,10,192,16,64,1,1.1603,0
point,3,True,10,192,16,64,2,0.8638,0
point,3,True,10,192,16,64,3,0.7194,0
point,3,True,10,192,16,64,4,0.8873,0
point,3,True,10,192,16,64,5,0.8775,0
point,3,True,11,384,24,64,1,0.7318,0
point,3,True,11,384,24,64,2,0.7556,0
point,3,True,11,384,24,64,3,0.8524,0
point,3,True,11,384,24,64,4,0.5677,0
point,3,True,11,384,24,64,5,1.1236,0
point,3,True,12,192,24,96,1,1.1685,0
point,3,True,12,192,24,96,2,1.0329,0
point,3,True,12,192,24,96,3,0.6789,0
point,3,True,12,192,24,96,4,0.6319,0
point,3,True,12,192,24,96,5,0.6553,0
point,3,True,13,192,16,96,1,0.9382,0
point,3,True,13,192,16,96,2,0.8344,0
point,3,True,13,192,16,96,3,0.6723,0
point,3,True,13,192,16,96,4,1.3047,1
point,3,True,13,192,16,96,5,0.6561,0
point,3,True,14,768,8,96,1,2.1157,0
point,3,True,14,768,8,96,2,1.0641,0
point,3,True,14,768,8,96,3,1.8318,0
point,3,True,14,768,8,96,4,1.2636,0
point,3,True,14,768,8,96,5,1.215,0
point,3,True,15,768,16,64,1,1.4376,0
point,3,True,15,768,16,64,2,1.2075,0
point,3,True,15,768,16,64,3,1.0481,0
point,3,True,15,768,16,64,4,1.1356,0
point,3,True,15,768,16,64,5,1.2553,0
point,3,True,16,384,16,96,1,1.6446,0
point,3,True,16,384,16,96,2,0.9602,0
point,3,True,16,384,16,96,3,0.9495,0
point,3,True,16,384,16,96,4,1.2029,0
point,3,True,16,384,16,96,5,0.6565,0
point,3,True,17,768,8,32,1,1.1557,0
point,3,True,17,768,8,32,2,4.0954,3
point,3,True,17,768,8,32,3,1.3845,0
point,3,True,17,768,8,32,4,1.4317,0
point,3,True,17,768,8,32,5,1.1681,0
point,3,True,18,192,8,64,1,1.5804,0
point,3,True,18,192,8,64,2,0.7846,0
point,3,True,18,192,8,64,3,1.0323,0
point,3,True,18,192,8,64,4,0.9396,0
point,3,True,18,192,8,64,5,0.6993,0
point,3,True,19,768,24,64,1,1.2671,0
point,3,True,19,768,24,64,2,1.1441,0
point,3,True,19,768,24,64,3,1.1212,0
point,3,True,19,768,24,64,4,1.2703,0
point,3,True,19,768,24,64,5,1.2016,0
point,3,True,20,384,8,64,1,1.6865,0
point,3,True,20,384,8,64,2,0.9355,0
point,3,True,20,384,8,64,3,0.8001,0
point,3,True,20,384,8,64,4,3.2807,3
point,3,True,20,384,8,64,5,0.8633,0
point,3,True,21,192,24,32,1,1.2051,0
point,3,True,21,192,24,32,2,0.727,0
point,3,True,21,192,24,32,3,0.8252,0
point,3,True,21,192,24,32,4,0.5742,0
point,3,True,21,192,24,32,5,0.8246,0
