cursor,block,recorded,combo_index,selection_index,A,W,EW_ratio,D,movement_time_s,errors
point,2,True,3,4,768,8,2,0.5,1.3349,0
point,2,True,3,5,512,8,2,0.5,2.8491,2
point,2,True,3,6,768,8,2,0.5,1.3096,0
point,2,True,3,7,256,8,2,0.5,1.1433,0
point,2,True,3,8,512,8,2,0.5,1.1679,0
point,2,True,4,0,256,24,1.33,0,0.8948,0
point,2,True,4,1,256,24,1.33,0,0.7613,0
point,2,True,4,2,512,24,1.33,0,0.7298,0
point,2,True,4,3,512,24,1.33,0,0.743,0
point,2,True,4,4,768,24,1.33,0,0.9109,0
point,2,True,4,5,768,24,1.33,0,1.1572,1
point,2,True,4,6,512,24,1.33,0,0.7433,0
point,2,True,4,7,256,24,1.33,0,0.7496,0
point,2,True,4,8,768,24,1.33,0,1.1466,0
point,2,True,5,0,512,16,3,0.5,1.1514,1
point,2,True,5,1,768,16,3,0.5,1.2341,1
point,2,True,5,2,256,16,3,0.5,1.293,0
point,2,True,5,3,768,16,3,0.5,1.1605,0
point,2,True,5,4,512,16,3,0.5,1.102,0
point,2,True,5,5,256,16,3,0.5,0.9664,0
point,2,True,5,6,512,16,3,0.5,1.147,0
point,2,True,5,7,768,16,3,0.5,1.4055,1
point,2,True,5,8,256,16,3,0.5,1.0823,0
point,2,True,6,0,256,24,1.33,1,0.9234,0
point,2,True,6,1,512,24,1.33,1,0.9544,0
point,2,True,6,2,768,24,1.33,1,1.086,0
point,2,True,6,3,768,24,1.33,1,1.1929,1
point,2,True,6,4,512,24,1.33,1,0.8687,0
point,2,True,6,5,512,24,1.33,1,0.8364,0
point,2,True,6,6,256,24,1.33,1,1.5061,2
point,2,True,6,7,768,24,1.33,1,1.1665,0
point,2,True,6,8,256,24,1.33,1,0.8699,0
point,2,True,7,0,512,16,1.33,0.5,1.0367,0
point,2,True,7,1,256,16,1.33,0.5,0.9463,0
point,2,True,7,2,768,16,1.33,0.5,1.2786,0
point,2,True,7,3,512,16,1.33,0.5,0.9934,0
point,2,True,7,4,256,16,1.33,0.5,1.0437,0
point,2,True,7,5,768,16,1.33,0.5,1.5667,1
point,2,True,7,6,256,16,1.33,0.5,1.2063,0
point,2,True,7,7,768,16,1.33,0.5,2.5544,4
point,2,True,7,8,512,16,1.33,0.5,1.1166,0
point,2,True,8,0,768,24,3,0.5,1.1751,0
point,2,True,8,1,768,24,3,0.5,1.1285,0
point,2,True,8,2,256,24,3,0.5,0.7641,0
point,2,True,8,3,512,24,3,0.5,0.7241,0
point,2,True,8,4,256,24,3,0.5,0.8124,0
point,2,True,8,5,512,24,3,0.5,1.2407,1
point,2,True,8,6,256,24,3,0.5,1.051,0
point,2,True,8,7,512,24,3,0.5,0.8656,0
point,2,True,8,8,768,24,3,0.5,1.0905,1
point,2,True,9,0,768,24,3,1,1.183,1
point,2,True,9,1,768,24,3,1,0.9667,0
point,2,True,9,2,256,24,3,1,0.8172,0
point,2,True,9,3,256,24,3,1,0.7062,0
point,2,True,9,4,768,24,3,1,0.9666,0
point,2,True,9,5,512,24,3,1,1.0459,0
point,2,True,9,6,256,24,3,1,0.9844,0
point,2,True,9,7,512,24,3,1,1.9732,3
point,2,True,9,8,512,24,3,1,0.9081,0
point,2,True,10,0,768,16,3,0,1.5997,2
point,2,True,10,1,256,16,3,0,1.1257,1
point,2,True,10,2,768,16,3,0,1.092,0
point,2,True,10,3,768,16,3,0,1.2538,0
point,2,True,10,4,256,16,3,0,0.8226,0
point,2,True,10,5,256,16,3,0,0.9676,0
point,2,True,10,6,512,16,3,0,1.4992,0
point,2,True,10,7,512,16,3,0,1.1559,0
point,2,True,10,8,512,16,3,0,1.1475,0
point,2,True,11,0,512,8,2,1,1.7736,0
point,2,True,11,1,512,8,2,1,1.2376,0
point,2,True,11,2,512,8,2,1,1.1509,0
point,2,True,11,3,768,8,2,1,1.5128,1
point,2,True,11,4,256,8,2,1,1.2253,0
point,2,True,11,5,256,8,2,1,1.4663,1
point,2,True,11,6,768,8,2,1,1.2251,0
point,2,True,11,7,768,8,2,1,1.347,0
point,2,True,11,8,256,8,2,1,1.5013,1
point,2,True,12,0,512,8,3,0,1.3653,0
point,2,True,12,1,512,8,3,0,1.3521,0
point,2,True,12,2,768,8,3,0,2.9636,4
point,2,True,12,3,256,8,3,0,1.0938,0
point,2,True,12,4,768,8,3,0,1.6225,1
point,2,True,12,5,256,8,3,0,1.4014,0
point,2,True,12,6,256,8,3,0,2.1657,3
point,2,True,12,7,768,8,3,0,1.7346,1
point,2,True,12,8,512,8,3,0,1.246,0
point,2,True,13,0,768,8,1.33,0.5,1.8724,0
point,2,True,13,1,256,8,1.33,0.5,1.4431,1
point,2,True,13,2,768,8,1.33,0.5,1.9299,3
point,2,True,13,3,256,8,1.33,0.5,1.08,0
